IDInteractorA,IDInteractorB
entrez gene/locuslink:178942,entrez gene/locuslink:172424
entrez gene/locuslink:178942,entrez gene/locuslink:173153
entrez gene/locuslink:178942,entrez gene/locuslink:177202
entrez gene/locuslink:178942,entrez gene/locuslink:171792
entrez gene/locuslink:178942,entrez gene/locuslink:176349
entrez gene/locuslink:178940,entrez gene/locuslink:183891
entrez gene/locuslink:178940,entrez gene/locuslink:189707
entrez gene/locuslink:176613,entrez gene/locuslink:172219
entrez gene/locuslink:174431,entrez gene/locuslink:177462
entrez gene/locuslink:174105,entrez gene/locuslink:175789
entrez gene/locuslink:174105,entrez gene/locuslink:177573
entrez gene/locuslink:174105,entrez gene/locuslink:179541
entrez gene/locuslink:174105,entrez gene/locuslink:180727
entrez gene/locuslink:174105,entrez gene/locuslink:180680
entrez gene/locuslink:174105,entrez gene/locuslink:180931
entrez gene/locuslink:174105,entrez gene/locuslink:181050
entrez gene/locuslink:174105,entrez gene/locuslink:183914
entrez gene/locuslink:174105,entrez gene/locuslink:174182
entrez gene/locuslink:174105,entrez gene/locuslink:173599
entrez gene/locuslink:174105,entrez gene/locuslink:186226
entrez gene/locuslink:174105,entrez gene/locuslink:172933
entrez gene/locuslink:174105,entrez gene/locuslink:176430
entrez gene/locuslink:174105,entrez gene/locuslink:178311
entrez gene/locuslink:174105,entrez gene/locuslink:172452
entrez gene/locuslink:174105,entrez gene/locuslink:179403
entrez gene/locuslink:174105,entrez gene/locuslink:187639
entrez gene/locuslink:174105,entrez gene/locuslink:172948
entrez gene/locuslink:174105,entrez gene/locuslink:178732
entrez gene/locuslink:174105,entrez gene/locuslink:191026
entrez gene/locuslink:174105,entrez gene/locuslink:177138
entrez gene/locuslink:174105,entrez gene/locuslink:189791
entrez gene/locuslink:174105,entrez gene/locuslink:177604
entrez gene/locuslink:174105,entrez gene/locuslink:178821
entrez gene/locuslink:174105,entrez gene/locuslink:174900
entrez gene/locuslink:174105,entrez gene/locuslink:176526
entrez gene/locuslink:174105,entrez gene/locuslink:178408
entrez gene/locuslink:174105,entrez gene/locuslink:176348
entrez gene/locuslink:175879,entrez gene/locuslink:172857
entrez gene/locuslink:175877,entrez gene/locuslink:180880
entrez gene/locuslink:175877,entrez gene/locuslink:179154
entrez gene/locuslink:175877,entrez gene/locuslink:172689
entrez gene/locuslink:175877,entrez gene/locuslink:175975
entrez gene/locuslink:175877,entrez gene/locuslink:176815
entrez gene/locuslink:175877,entrez gene/locuslink:180111
entrez gene/locuslink:175877,entrez gene/locuslink:178305
